BUKRS,WERKS,KOSTL,MATNR,MAKTX,LIFNR,MENGE,MEINS,NETWR,WAERS,BUDAT,BELNR
1000,PL01,CC-MFG-02,MAT-P004,Industrial Solvent,VEND-202,0,KG,13044.23,INR,24.11.2025,PO-4538724825
1000,PL01,CC-MFG-02,MAT-P008,Generator Diesel,VEND-101,1400.22,L,5222.76,INR,20251014,PO-4559755309
1000,PL01,CC-OPS-01,MAT-P006,Fuel Additive,VEND-201,423.64,L,4133.0,INR,2026-01-24,PO-4562775754
1000,PL01,CC-LOG-03,MAT-P005,Refrigerant R-410A,VEND-200,462.91,KG,3864.8,INR,2025-07-11,PO-4550905876
1000,PL01,CC-UTIL-04,MAT-P004,Industrial Solvent,VEND-201,-874.79,KG,5028.14,INR,18.06.2025,PO-4571817701
1000,PL01,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-200,-723.75,L,1251.79,INR,20250531,PO-4557953616
1000,PL01,CC-UTIL-04,MAT-P003,Compressed Gas Cylinder,VEND-200,591.6,EA,5630.77,INR,31.10.2025,PO-4566901056
1000,PL01,CC-OPS-01,MAT-P005,Refrigerant R-410A,VEND-100,1743.08,KG,5930.22,INR,20250828,PO-4577265816
1000,PL01,CC-UTIL-04,MAT-P006,Fuel Additive,VEND-101,1091.67,L,9685.83,INR,12.10.2025,PO-4592042245
1000,PL01,CC-MFG-02,MAT-P003,Compressed Gas Cylinder,VEND-202,1852.6,EA,6686.11,INR,20250819,PO-4520130746
1000,PL01,CC-LOG-03,MAT-P005,Refrigerant R-410A,,708.24,KG,1564.72,INR,2025-08-19,PO-4507716624
1000,PL01,CC-LOG-03,MAT-P004,Industrial Solvent,VEND-104,593.41,KG,6027.42,INR,2026-04-10,PO-4527439217
1000,PL01,CC-MFG-02,MAT-P007,Biomass Pellets,VEND-103,268.78,TO,3171.83,INR,20260616,PO-4501898443
