meter_id,meter_name,billing_start,billing_end,tariff_code,tariff_band,reading_from,reading_to,consumption,unit,rate,amount,currency,notes
MTR-IN-001,Main Building - LT Supply,2024-01-06,2024-02-06,LT-2A,Peak,11880,29733,8034.1,kWh,6.25,50213.12,INR,
MTR-IN-001,Main Building - LT Supply,2024-01-06,2024-02-06,LT-2A,Off-Peak,11880,29733,6248.75,kWh,4.5,28119.38,INR,
MTR-IN-001,Main Building - LT Supply,2024-01-06,2024-02-06,LT-2A,Night,11880,29733,3570.71,kWh,3.1,11069.2,INR,
MTR-IN-001,Main Building - LT Supply,2024-02-07,2024-03-03,LT-2A,Peak,29733,31586,833.86,kWh,6.25,5211.62,INR,
MTR-IN-001,Main Building - LT Supply,2024-02-07,2024-03-03,LT-2A,Off-Peak,29733,31586,648.56,kWh,4.5,2918.52,INR,
MTR-IN-001,Main Building - LT Supply,2024-02-07,2024-03-03,LT-2A,Night,29733,31586,370.61,kWh,3.1,1148.89,INR,
MTR-IN-001,Main Building - LT Supply,2024-03-04,2024-04-03,LT-2A,Peak,31586,33227,738.82,kWh,6.25,4617.62,INR,
MTR-IN-001,Main Building - LT Supply,2024-03-04,2024-04-03,LT-2A,Off-Peak,31586,33227,574.64,kWh,4.5,2585.88,INR,
MTR-IN-001,Main Building - LT Supply,2024-03-04,2024-04-03,LT-2A,Night,31586,33227,328.36,kWh,3.1,1017.92,INR,
MTR-IN-001,Main Building - LT Supply,2024-04-04,2024-05-02,LT-2A,Peak,33227,34707,666.33,kWh,6.25,4164.56,INR,
MTR-IN-001,Main Building - LT Supply,2024-04-04,2024-05-02,LT-2A,Off-Peak,33227,34707,518.26,kWh,4.5,2332.17,INR,
MTR-IN-001,Main Building - LT Supply,2024-04-01,2024-05-02,LT-2A,Night,33227,34707,296.15,kWh,3.1,918.06,INR,Revised billing period
MTR-IN-001,Main Building - LT Supply,2024-05-03,2024-06-05,LT-2A,Peak,34707,36158,653.27,kWh,6.25,4082.94,INR,
MTR-IN-001,Main Building - LT Supply,2024-05-03,2024-06-05,LT-2A,Off-Peak,34707,36158,508.1,kWh,4.5,2286.45,INR,
MTR-IN-001,Main Building - LT Supply,2024-05-03,2024-06-05,LT-2A,Night,34707,36158,290.34,kWh,3.1,900.05,INR,
MTR-IN-001,Main Building - LT Supply,2024-06-06,2024-07-07,LT-2A,Peak,36158,38028,841.88,kWh,6.25,5261.75,INR,
MTR-IN-001,Main Building - LT Supply,2024-06-06,2024-07-07,LT-2A,Off-Peak,36158,38028,654.8,kWh,4.5,2946.6,INR,
MTR-IN-001,Main Building - LT Supply,2024-06-06,2024-07-07,LT-2A,Night,36158,38028,374.17,kWh,3.1,1159.93,INR,
MTR-IN-001,Main Building - LT Supply,2024-07-08,2024-08-03,LT-2A,Peak,38028,39880,833.75,kWh,6.25,5210.94,INR,
MTR-IN-001,Main Building - LT Supply,2024-07-08,2024-08-03,LT-2A,Off-Peak,38028,39880,648.47,kWh,4.5,2918.12,INR,
MTR-IN-001,Main Building - LT Supply,2024-07-08,2024-08-03,LT-2A,Night,38028,39880,370.55,kWh,3.1,1148.71,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-04,2024-08-30,LT-2A,Peak,39880,41557,754.73,kWh,6.25,4717.06,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-04,2024-08-30,LT-2A,Off-Peak,39880,41557,587.01,kWh,4.5,2641.55,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-04,2024-08-30,LT-2A,Night,39880,41557,335.44,kWh,3.1,1039.86,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-31,2024-10-02,LT-2A,Peak,41557,43369,815.51,kWh,6.25,5096.94,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-31,2024-10-02,LT-2A,Off-Peak,41557,43369,634.28,kWh,4.5,2854.26,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-31,2024-10-02,LT-2A,Night,41557,43369,362.45,kWh,3.1,1123.6,INR,
MTR-IN-001,Main Building - LT Supply,2024-10-03,2024-11-03,LT-2A,Peak,43369,45298,868.09,kWh,6.25,5425.56,INR,
MTR-IN-001,Main Building - LT Supply,2024-10-03,2024-11-03,LT-2A,Off-Peak,43369,45298,675.18,kWh,4.5,3038.31,INR,
MTR-IN-001,Main Building - LT Supply,2024-10-03,2024-11-03,LT-2A,Night,43369,45298,385.82,kWh,3.1,1196.04,INR,
MTR-IN-001,Main Building - LT Supply,2024-11-04,2024-12-04,LT-2A,Peak,45298,46855,700.79,kWh,6.25,4379.94,INR,
MTR-IN-001,Main Building - LT Supply,2024-11-04,2024-12-04,LT-2A,Off-Peak,45298,46855,545.06,kWh,4.5,2452.77,INR,
MTR-IN-001,Main Building - LT Supply,2024-11-04,2024-12-04,LT-2A,Night,45298,46855,311.46,kWh,3.1,965.53,INR,
MTR-IN-001,Main Building - LT Supply,2024-12-05,2025-01-07,LT-2A,Peak,46855,48382,687.38,kWh,6.25,4296.12,INR,
MTR-IN-001,Main Building - LT Supply,2024-12-05,2025-01-07,LT-2A,Off-Peak,46855,48382,534.62,kWh,4.5,2405.79,INR,
MTR-IN-001,Main Building - LT Supply,2024-12-05,2025-01-07,LT-2A,Night,46855,48382,305.5,kWh,3.1,947.05,INR,
MTR-IN-001,Main Building - LT Supply,2025-01-08,2025-02-12,LT-2A,Peak,48382,49897,682.0,kWh,6.25,4262.5,INR,
MTR-IN-001,Main Building - LT Supply,2025-01-08,2025-02-12,LT-2A,Off-Peak,48382,49897,530.44,kWh,4.5,2386.98,INR,
MTR-IN-001,Main Building - LT Supply,2025-01-08,2025-02-12,LT-2A,Night,48382,49897,303.11,kWh,3.1,939.64,INR,
