account_id,mpan,meter_id,supplier,site_name,period_start,period_end,tariff_name,consumption_kwh,unit,unit_rate_gbp,standing_charge_gbp,total_amount_gbp,vat_pct,is_estimated,notes
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-01-15,2024-02-16,Day Rate,410.51,kWh,0.28,8.3,123.24,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-01-15,2024-02-16,Night Rate,273.68,kWh,0.14,8.6,46.92,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-02-17,2024-03-23,Day Rate,519.95,kWh,0.28,11.45,157.04,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-02-17,2024-03-23,Night Rate,346.63,kWh,0.14,11.37,59.9,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-03-24,2024-04-20,Day Rate,468.43,kWh,0.28,7.91,139.07,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-03-24,2024-04-20,Night Rate,312.28,kWh,0.14,6.83,50.55,5.0,True,Estimated read
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-04-21,2024-05-26,Day Rate,399.5,kWh,0.28,9.05,120.91,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-04-21,2024-05-26,Night Rate,266.33,kWh,0.14,9.7,46.99,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-05-27,2024-06-25,Day Rate,502.25,kWh,0.28,7.3,147.93,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-05-27,2024-06-25,Night Rate,334.84,kWh,0.14,8.07,54.95,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-06-26,2024-07-26,Day Rate,468.13,kWh,0.28,9.5,140.58,5.0,False,
ACC-901,3729129247661,,British Gas,Office Block A - Domestic Supply,2024-06-26,2024-07-26,Night Rate,312.08,kWh,0.14,9.61,53.3,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-07-27,2024-08-25,Day Rate,-429.0,kWh,0.28,8.29,-111.83,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-07-27,2024-08-25,Night Rate,-286.0,kWh,0.14,10.01,-30.03,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-08-26,2024-09-22,Day Rate,480.56,kWh,0.28,7.26,141.82,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-08-26,2024-09-22,Night Rate,320.37,kWh,0.14,6.93,51.78,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-09-23,2024-10-22,Day Rate,443.74,kWh,0.28,7.95,132.2,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-09-23,2024-10-22,Night Rate,295.83,kWh,0.14,7.37,48.79,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-10-23,2024-11-23,Day Rate,357.58,kWh,0.28,8.83,108.95,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-10-23,2024-11-23,Night Rate,238.39,kWh,0.14,10.72,44.09,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-11-24,2024-12-20,Day Rate,4013.14,kWh,0.28,8.91,1132.59,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-11-24,2024-12-20,Night Rate,2675.43,kWh,0.14,7.95,382.51,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-12-21,2025-01-25,Day Rate,426.95,kWh,0.28,11.24,130.79,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2024-12-21,2025-01-25,Night Rate,284.64,kWh,0.14,11.23,51.08,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2025-01-26,2025-02-23,Day Rate,550.72,kWh,0.28,9.68,163.88,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2025-01-26,2025-02-23,Night Rate,367.15,kWh,0.14,8.35,59.75,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2025-02-24,2025-03-23,Day Rate,361.75,kWh,0.28,8.68,109.97,5.0,False,
ACC-901,3729129247661,MTR-UK-001,British Gas,Office Block A - Domestic Supply,2025-02-24,2025-03-23,Night Rate,241.17,kWh,0.14,7.26,41.02,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-01-15,2024-02-19,Day Rate,2.07,MWh,0.28,10.47,589.43,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-01-15,2024-02-19,Night Rate,1.38,MWh,0.14,11.14,204.12,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-02-20,2024-03-18,Day Rate,2.05,MWh,0.28,7.95,583.16,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-02-20,2024-03-18,Night Rate,1.37,MWh,0.14,9.03,200.77,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-03-19,2024-04-19,Day Rate,2.36,MWh,0.28,8.67,668.66,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-03-19,2024-04-19,Night Rate,1.57,MWh,0.14,9.44,229.43,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-04-20,2024-05-20,Day Rate,2.0,MWh,0.28,9.79,569.44,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-04-20,2024-05-20,Night Rate,1.33,MWh,0.14,9.2,195.75,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-05-21,2024-06-25,Day Rate,2.03,MWh,0.28,11.21,579.05,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-05-21,2024-06-25,Night Rate,1.35,MWh,0.14,10.91,200.19,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-06-26,2024-07-30,Day Rate,2.2,MWh,0.28,10.06,626.7,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-06-26,2024-07-30,Night Rate,1.47,MWh,0.14,10.11,215.66,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-07-31,2024-08-25,Day Rate,2.4,MWh,0.28,6.69,677.87,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-07-31,2024-08-25,Night Rate,1.6,MWh,0.14,8.62,232.35,5.0,True,Estimated read
ACC-902,3666301891947,,EDF Energy,Data Centre UPS Feed,2024-08-26,2024-09-22,Day Rate,2.45,MWh,0.28,6.87,691.67,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-08-26,2024-09-22,Night Rate,1.63,MWh,0.14,8.54,236.81,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-09-23,2024-10-25,Day Rate,19.74,MWh,0.28,8.27,5535.61,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-09-23,2024-10-25,Night Rate,13.16,MWh,0.14,8.29,1850.74,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-10-26,2024-11-20,Day Rate,1.55,MWh,0.28,7.63,441.32,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-10-26,2024-11-20,Night Rate,1.03,MWh,0.14,8.72,153.28,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-11-21,2024-12-19,Day Rate,1.59,MWh,0.28,7.16,452.71,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-11-21,2024-12-19,Night Rate,1.06,MWh,0.14,9.57,158.08,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-12-20,2025-01-20,Day Rate,1.73,MWh,0.28,10.16,494.35,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2024-12-20,2025-01-20,Night Rate,1.15,MWh,0.14,8.27,169.67,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2025-01-21,2025-02-21,Day Rate,2.38,MWh,0.28,8.03,675.67,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2025-01-21,2025-02-21,Night Rate,1.59,MWh,0.14,10.16,232.71,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2025-02-22,2025-03-20,Day Rate,1.71,MWh,0.28,8.55,487.42,5.0,False,
ACC-902,3666301891947,MTR-UK-002,EDF Energy,Data Centre UPS Feed,2025-02-22,2025-03-20,Night Rate,1.14,MWh,0.14,8.17,167.79,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-01-15,2024-02-10,Day Rate,113.86,kWh,0.28,7.06,38.94,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-01-15,2024-02-10,Night Rate,75.91,kWh,0.14,7.31,17.94,5.0,False,
ACC-903,6375767173001,,Octopus Energy,Car Park EV Chargers,2024-02-11,2024-03-11,Day Rate,114.78,kWh,0.28,8.89,41.03,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-02-11,2024-03-11,Night Rate,76.52,kWh,0.14,9.47,20.18,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-03-12,2024-04-14,Day Rate,119.35,kWh,0.28,11.19,44.61,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-03-12,2024-04-14,Night Rate,79.57,kWh,0.14,11.33,22.47,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-04-15,2024-05-11,Day Rate,87.58,kWh,0.28,8.62,33.14,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-04-15,2024-05-11,Night Rate,58.38,kWh,0.14,8.14,16.31,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-05-12,2024-06-16,Day Rate,109.33,kWh,0.28,10.0,40.61,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-05-12,2024-06-16,Night Rate,72.88,kWh,0.14,10.33,20.53,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-06-17,2024-07-20,Day Rate,89.9,kWh,0.28,11.17,36.34,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-06-17,2024-07-20,Night Rate,59.94,kWh,0.14,9.49,17.88,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-07-21,2024-08-15,Day Rate,129.8,kWh,0.28,8.48,44.82,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-07-21,2024-08-15,Night Rate,86.53,kWh,0.14,7.13,19.24,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-08-16,2024-09-13,Day Rate,119.95,kWh,0.28,9.7,43.29,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-08-16,2024-09-13,Night Rate,79.96,kWh,0.14,7.81,19.0,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-09-14,2024-10-14,Day Rate,124.23,kWh,0.28,9.91,44.69,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-09-14,2024-10-14,Night Rate,82.82,kWh,0.14,9.57,21.16,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-10-15,2024-11-16,Day Rate,107.78,kWh,0.28,9.11,39.29,5.0,True,Estimated read
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-10-15,2024-11-16,Night Rate,71.86,kWh,0.14,8.5,18.56,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-11-17,2024-12-13,Day Rate,82.97,kWh,0.28,7.19,30.42,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-11-17,2024-12-13,Night Rate,55.32,kWh,0.14,7.96,15.7,5.0,True,Estimated read
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-12-14,2025-01-09,Day Rate,107.69,kWh,0.28,6.74,36.89,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2024-12-14,2025-01-09,Night Rate,71.79,kWh,0.14,7.65,17.7,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2025-01-10,2025-02-08,Day Rate,114.45,kWh,0.28,9.87,41.92,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2025-01-10,2025-02-08,Night Rate,76.3,kWh,0.14,8.91,19.59,5.0,True,Estimated read
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2025-02-09,2025-03-09,Day Rate,85.81,kWh,0.28,7.42,31.45,5.0,False,
ACC-903,6375767173001,MTR-UK-003,Octopus Energy,Car Park EV Chargers,2025-02-09,2025-03-09,Night Rate,57.2,kWh,0.14,7.85,15.86,5.0,False,
