BUKRS,WERKS,KOSTL,MATNR,MAKTX,LIFNR,MENGE,MEINS,NETWR,WAERS,BUDAT,BELNR
1000,PL01,CC-OPS-01,MAT-P007,Biomass Pellets,VEND-103,792.47,TO,6176.6,INR,29/01/2026,PO-4597848887
1000,PL01,CC-UTIL-04,MAT-P007,Biomass Pellets,,1085.08,TO,9608.52,INR,11.04.2026,PO-4550194716
1000,PL01,CC-LOG-03,MAT-P007,Biomass Pellets,VEND-102,1729.91,TO,6456.38,INR,20251002,PO-4596191161
1000,PL01,CC-MFG-02,MAT-P002,Lubricant Oil,,-964.63,L,5524.96,INR,09/01/2026,PO-4571713878
1000,PL01,CC-LOG-03,MAT-P002,Lubricant Oil,VEND-202,951.07,L,10416.64,INR,20.07.2025,PO-4528967313
1000,PL01,CC-OPS-01,MAT-P003,Compressed Gas Cylinder,,1507.64,EA,9253.9,INR,20260225,PO-4503127789
1000,PL01,CC-MFG-02,MAT-P003,Compressed Gas Cylinder,VEND-201,973.77,EA,9841.42,INR,15/04/2026,PO-4582864801
1000,PL01,CC-OPS-01,MAT-P001,Diesel Drums 200L,VEND-103,793.07,EA,2320.58,INR,31.10.2025,PO-4559454799
1000,PL01,CC-UTIL-04,MAT-P005,Refrigerant R-410A,VEND-200,1113.67,KG,11319.24,INR,20260323,PO-4517572716
1000,PL01,CC-MFG-02,MAT-P003,Compressed Gas Cylinder,VEND-101,1235.67,EA,7151.0,INR,07.04.2026,PO-4555012433
1000,PL01,CC-LOG-03,MAT-P003,Compressed Gas Cylinder,VEND-202,1852.06,EA,19899.5,INR,20251214,PO-4548546900
1000,PL01,CC-LOG-03,MAT-P003,Compressed Gas Cylinder,,1372.73,EA,9283.7,INR,21.05.2026,PO-4550596630
1000,PL01,CC-OPS-01,MAT-P007,Biomass Pellets,VEND-201,706.67,TO,7087.83,INR,10.11.2025,PO-4505045580
1000,PL02,CC-MFG-02,MAT-P006,Fuel Additive,VEND-103,1457.24,L,8284.54,INR,11/10/2025,PO-4514193352
