meter_id,meter_name,billing_start,billing_end,tariff_code,tariff_band,reading_from,reading_to,consumption,unit,rate,amount,currency,notes
MTR-IN-001,Main Building - LT Supply,2024-01-10,2024-02-14,LT-2A,Peak,33325,34934,724.28,kWh,6.25,4526.75,INR,
MTR-IN-001,Main Building - LT Supply,2024-01-10,2024-02-14,LT-2A,Off-Peak,33325,34934,563.33,kWh,4.5,2534.99,INR,
MTR-IN-001,Main Building - LT Supply,2024-01-10,2024-02-14,LT-2A,Night,33325,34934,321.9,kWh,3.1,997.89,INR,
MTR-IN-001,Main Building - LT Supply,2024-02-15,2024-03-11,LT-2A,Peak,34934,36172,557.54,kWh,6.25,3484.62,INR,
MTR-IN-001,Main Building - LT Supply,2024-02-15,2024-03-11,LT-2A,Off-Peak,34934,36172,433.64,kWh,4.5,1951.38,INR,
MTR-IN-001,Main Building - LT Supply,2024-02-15,2024-03-11,LT-2A,Night,34934,36172,247.79,kWh,3.1,768.15,INR,
MTR-IN-001,Main Building - LT Supply,2024-03-12,2024-04-06,LT-2A,Peak,36172,37747,709.14,kWh,6.25,4432.12,INR,
MTR-IN-001,Main Building - LT Supply,2024-03-12,2024-04-06,LT-2A,Off-Peak,36172,37747,551.55,kWh,4.5,2481.97,INR,
MTR-IN-001,Main Building - LT Supply,2024-03-12,2024-04-06,LT-2A,Night,36172,37747,315.17,kWh,3.1,977.03,INR,
MTR-IN-001,Main Building - LT Supply,2024-04-07,2024-05-03,LT-2A,Peak,37747,39010,568.72,kWh,6.25,3554.5,INR,
MTR-IN-001,Main Building - LT Supply,2024-04-07,2024-05-03,LT-2A,Off-Peak,37747,39010,442.34,kWh,4.5,1990.53,INR,
MTR-IN-001,Main Building - LT Supply,2024-04-04,2024-05-03,LT-2A,Night,37747,39010,252.77,kWh,3.1,783.59,INR,Revised billing period
MTR-IN-001,Main Building - LT Supply,2024-05-04,2024-06-05,LT-2A,Peak,39010,40423,636.04,kWh,6.25,3975.25,INR,
MTR-IN-001,Main Building - LT Supply,2024-05-04,2024-06-05,LT-2A,Off-Peak,39010,40423,494.7,kWh,4.5,2226.15,INR,
MTR-IN-001,Main Building - LT Supply,2024-05-04,2024-06-05,LT-2A,Night,39010,40423,282.68,kWh,3.1,876.31,INR,
MTR-IN-001,Main Building - LT Supply,2024-06-06,2024-07-03,LT-2A,Peak,40423,41868,650.6,kWh,6.25,4066.25,INR,
MTR-IN-001,Main Building - LT Supply,2024-06-06,2024-07-03,LT-2A,Off-Peak,40423,41868,506.02,kWh,4.5,2277.09,INR,
MTR-IN-001,Main Building - LT Supply,2024-06-03,2024-07-03,LT-2A,Night,40423,41868,289.16,kWh,3.1,896.4,INR,Revised billing period
MTR-IN-001,Main Building - LT Supply,2024-07-04,2024-08-07,LT-2A,Peak,41868,43087,548.91,kWh,6.25,3430.69,INR,
MTR-IN-001,Main Building - LT Supply,2024-07-04,2024-08-07,LT-2A,Off-Peak,41868,43087,426.93,kWh,4.5,1921.18,INR,
MTR-IN-001,Main Building - LT Supply,2024-07-04,2024-08-07,LT-2A,Night,41868,43087,243.96,kWh,3.1,756.28,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-08,2024-09-07,LT-2A,Peak,43087,44976,850.32,kWh,6.25,5314.5,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-08,2024-09-07,LT-2A,Off-Peak,43087,44976,661.36,kWh,4.5,2976.12,INR,
MTR-IN-001,Main Building - LT Supply,2024-08-08,2024-09-07,LT-2A,Night,43087,44976,377.92,kWh,3.1,1171.55,INR,
MTR-IN-001,Main Building - LT Supply,2024-09-08,2024-10-07,LT-2A,Peak,44976,46159,532.47,kWh,6.25,3327.94,INR,
MTR-IN-001,Main Building - LT Supply,2024-09-08,2024-10-07,LT-2A,Off-Peak,44976,46159,414.14,kWh,4.5,1863.63,INR,
MTR-IN-001,Main Building - LT Supply,2024-09-08,2024-10-07,LT-2A,Night,44976,46159,236.65,kWh,3.1,733.62,INR,
MTR-IN-001,Main Building - LT Supply,2024-10-08,2024-11-12,LT-2A,Peak,46159,47448,580.23,kWh,6.25,3626.44,INR,
MTR-IN-001,Main Building - LT Supply,2024-10-08,2024-11-12,LT-2A,Off-Peak,46159,47448,451.29,kWh,4.5,2030.81,INR,
MTR-IN-001,Main Building - LT Supply,2024-10-08,2024-11-12,LT-2A,Night,46159,47448,257.88,kWh,3.1,799.43,INR,
MTR-IN-001,Main Building - LT Supply,2024-11-13,2024-12-12,LT-2A,Peak,47448,49350,856.08,kWh,6.25,5350.5,INR,
MTR-IN-001,Main Building - LT Supply,2024-11-13,2024-12-12,LT-2A,Off-Peak,47448,49350,665.84,kWh,4.5,2996.28,INR,
